	NumberofCitations
0	1
1	4
2	7
3	39
4	8
5	1
6	1
7	1
8	32
9	235
10	59
11	2
12	1
13	81
14	1
15	1
16	7
17	31
18	106
19	55
20	1
21	18
22	27
23	9
24	23
25	9
26	26
27	76
28	126
29	10
30	13
31	133
32	19
33	116
34	54
35	101
36	18
37	38
38	16
39	97
40	113
41	4
42	254
43	8
44	9
45	7
46	23
47	123
48	3
49	53
50	14
51	40
52	59
53	161
54	16
55	1
56	42
57	108
58	19
59	56
60	21
61	24
62	45
63	37
64	90
65	74
66	12
67	25
68	174
69	66
70	20
71	83
72	22
73	350
74	3
75	13
76	180
77	84
78	2
79	39
80	18
81	216
82	34
83	58
84	58
85	1
86	54
87	20
88	32
89	7
90	148
91	68
92	196
93	67
94	152
95	16
96	79
97	39
98	12
99	49
100	114
101	66
102	177
103	31
104	35
105	12
106	10
107	37
108	12
109	169
110	13
111	2
112	36
113	495
114	1
115	4
116	107
117	178
118	13
119	30
120	5
121	21
122	15
123	93
124	40
125	124
126	16
127	35
128	9
129	32
130	4
131	51
132	2
133	2
134	1
135	17
136	50
137	50
138	87
139	23
140	263
141	27
142	117
143	1
144	96
145	47
146	3
147	151
148	13
149	47
150	227
151	56
152	34
153	16
154	110
155	56
156	138
157	67
158	7
159	123
160	2
161	17
162	2
163	12
164	97
165	2
166	11
167	2
168	103
169	16
170	72
171	5
172	36
173	14
174	13
175	15
176	72
177	125
178	37
179	60
180	96
181	66
182	204
183	1
184	128
185	11
186	66
187	61
188	67
189	6
190	92
191	42
192	5
193	5
194	43
195	82
196	127
197	42
198	89
199	14
200	19
201	10
202	39
203	172
204	45
205	37
206	49
207	10
208	49
209	87
210	16
211	5
212	35
213	4
214	524
215	3
216	73
217	3
218	55
219	8
220	2
221	28
222	72
223	3
224	67
225	10
226	16
227	106
228	117
229	30
230	1
231	14
232	4
233	19
234	26
235	595
236	176
237	52
238	5
239	73
240	1
241	5
242	3
243	44
244	4
245	7
246	1
247	23
248	1
249	4
250	53
251	112
252	1
253	27
254	1
255	3
256	8
257	51
258	71
259	8
260	59
261	7
262	15
263	6
264	29
265	30
266	1
267	43
268	318
269	16
270	33
271	464
272	15
273	14
274	46
275	1
276	4
277	34
278	28
279	4
280	65
281	1
282	1
283	3
284	10
285	15
286	97
287	48
288	4
289	14
290	6
291	5
292	57
293	21
294	40
295	2
296	23
297	154
298	60
299	11
300	3
301	6
302	2
303	12
304	7
305	11
306	2
307	8
308	15
309	18
310	60
311	88
312	1
313	4
314	9
315	3
316	235
317	47
318	2
319	33
320	32
321	5
322	38
323	1
324	34
325	7
326	42
327	9
328	13
329	64
330	588
331	6
332	1
333	1
334	134
335	8
336	2
337	24
338	51
339	115
340	27
341	23
342	13
343	18
344	25
345	2
346	2
347	1
348	30
349	1
350	1
351	12
352	2
353	135
354	8
355	14
356	65
357	7
358	38
359	178
360	130
361	1
362	2
