	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
0	0.0	0.0	1.0	4.0	1.0	1.0	2.0
1	1.0	1.0	1.0	25.0	20.0	1.0	27.0
2	1.0	1.0	1.0	25.0	20.0	1.0	27.0
3	1.0	1.0	1.0	25.0	20.0	1.0	27.0
4	1.0	1.0	1.0	25.0	20.0	1.0	27.0
5	1.0	1.0	1.0	15.0	17.0	0.0	1.0
6	1.0	1.0	1.0	15.0	17.0	1.0	1.0
7	1.0	1.0	1.0	15.0	17.0	1.0	1.0
8	1.0	1.0	1.0	15.0	17.0	1.0	1.0
9	1.0	1.0	4.0	604.0	1048.0	178.0	400.0
10	1.0	1.0	2.0	115.0	30.0	6.0	6.0
11	1.0	1.0	1.0	40.0	20.0	2.0	2.0
12	0.0	0.0	1.0	0.0	0.0	1.0	2.0
13	1.0	1.0	2.0	30.0	4.0	7.0	16.0
14	0.0	0.0	1.0	0.0	0.0	2.0	4.0
15	1.0	1.0	6.0	500.0	761.0	1.0	360.0
16	1.0	1.0	3.0	0.0	0.0	4.0	12.0
17	0.0	0.0	2.0	0.0	0.0	4.0	8.0
18	0.0	0.0	1.0	0.0	0.0	1.0	2.0
19	0.0	0.0	1.0	23.0	427.0	0.0	1.0
20	0.0	0.0	1.0	0.0	0.0	16.0	23.0
21	0.0	0.0	1.0	0.0	0.0	1.0	1
22	0.0	0.0	1.0	0.0	0.0	1.0	2.0
23	0.0	0.0	1.0	12.0	1.0	1.0	3.0
24	0.0	0.0	1.0	23.0	427.0	0.0	1.0
25	0.0	0.0	1.0	0.0	0.0	1.0	2.0
26	0.0	0.0	1.0	0.0	0.0	1.0	2.0
27	0.0	0.0	1.0	0.0	0.0	1.0	2.0
28	1.0	1.0	1.0	11.0	24.0	0.0	42.0
29	0.0	0.0	1.0	23.0	427.0	0.0	1.0
30	0.0	0.0	1.0	7.0	28.0	1.0	1.0
31	0.0	0.0	1.0	7.0	28.0	1.0	1.0
32	1.0	1.0	5.0	342.0	563.0	19.0	160.0
33	1.0	1.0	5.0	622.0	988.0	0.0	140.0
34	1.0	1.0	1.0	41.0	38.0	3.0	27.0
35	0.0	0.0	2.0	0.0	0.0	24.0	30.0
36	1.0	1.0	1.0	27.0	115.0	0.0	39.0
37	1.0	1.0	3.0	164.0	364.0	12.0	15.0
38	1.0	1.0	1.0	29.0	49.0	30.0	78.0
39	1.0	1.0	1.0	26.0	112.0	0.0	2.0
40	1.0	1.0	3.0	164.0	364.0	12.0	15.0
41	1.0	1.0	2.0	117.0	325.0	8.0	10.0
42	1.0	1.0	1.0	5.0	1.0	0.0	1.0
43	1.0	1.0	1.0	12.0	10.0	0.0	1.0
44	1.0	1.0	1.0	12.0	50.0	1.0	1.0
45	1.0	1.0	1.0	15.0	17.0	1.0	1.0
46	1.0	1.0	1.0	0.0	0.0	2.0	2.0
47	1.0	1.0	1.0	12.0	50.0	1.0	1.0
48	1.0	1.0	1.0	12.0	50.0	1.0	1.0
49	1.0	1.0	1.0	5.0	26.0	0.0	6.0
50	0.0	0.0	1.0	0.0	0.0	1.0	1.0
51	0.0	0.0	1.0	0.0	0.0	1.0	1.0
52	0.0	0.0	1.0	0.0	0.0	1.0	1.0
53	0.0	0.0	1.0	0.0	0.0	1.0	1.0
54	0.0	0.0	1.0	0.0	0.0	1.0	1.0
55	0.0	0.0	1.0	20.0	17.0	4.0	6.0
56	1.0	1.0	3.0	15.0	104.0	9.0	9.0
57	1.0	1.0	1.0	5.0	13.0	0.0	2.0
58	1.0	1.0	1.0	167.0	339.0	0.0	20.0
59	1.0	1.0	1.0	5.0	13.0	0.0	1.0
60	1.0	1.0	1.0	5.0	13.0	0.0	1.0
61	1.0	1.0	1.0	5.0	13.0	0.0	1.0
62	0.0	0.0	1.0	5.0	6.0	0.0	3.0
63	0.0	0.0	1.0	0.0	0.0	0.0	1.0
64	1.0	1.0	1.0	9.0	6.0	1.0	1.0
65	1.0	1.0	1.0	72.0	172.0	1.0	2.0
66	1.0	1.0	2.0	160.0	241.0	9.0	18.0
67	1.0	1.0	2.0	168.0	254.0	10.0	20.0
68	1.0	1.0	1.0	122.0	204.0	19.0	38.0
69	0.0	0.0	2.0	0.0	0.0	4.0	6.0
70	1.0	1.0	1.0	0.0	0.0	0.0	2.0
71	0.0	0.0	4.0	69.0	22.0	36.0	40.0
72	0.0	0.0	1.0	30.0	1.0	1.0	1.0
73	1.0	1.0	1.0	17.0	275.0	1.0	8.0
74	1.0	1.0	1.0	16.0	5.0	1.0	2.0
75	1.0	1.0	2.0	57.0	52.0	1.0	4.0
76	0.0	0.0	1.0	0.0	0.0	1.0	1.0
77	1.0	1.0	1.0	19.0	68.0	1.0	2.0
78	1.0	1.0	2.0	66.0	67.0	36.0	80.0
79	0.0	0.0	1.0	0.0	0.0	5.0	23.0
80	1.0	1.0	9.0	372.0	731.0	470.0	713.0
81	1.0	1.0	1.0	46.0	45.0	1.0	1.0
82	1.0	1.0	1.0	46.0	45.0	2.0	2.0
83	0.0	0.0	5.0	0.0	1.0	145.0	155.0
84	1.0	1.0	1.0	11.0	24.0	0.0	14.0
85	1.0	1.0	2.0	404.0	690.0	18.0	40.0
86	1.0	1.0	1.0	145.0	284.0	0.0	2.0
87	1.0	1.0	1.0	27.0	9.0	2.0	4.0
88	1.0	1.0	1.0	27.0	9.0	2.0	4.0
89	1.0	1.0	1.0	27.0	9.0	2.0	4.0
90	1.0	1.0	2.0	32.0	10.0	27.0	80.0
91	1.0	1.0	5.0	238.0	254.0	789.0	930.0
92	1.0	1.0	1.0	27.0	9.0	2.0	4.0
93	0.0	0.0	1.0	0.0	0.0	0.0	2.0
94	1.0	1.0	1.0	27.0	9.0	2.0	4.0
95	0.0	0.0	1.0	0.0	0.0	29.0	31.0
96	0.0	0.0	3.0	0.0	0.0	16.0	48.0
97	1.0	1.0	1.0	24.0	52.0	1.0	16.0
98	1.0	1.0	1.0	24.0	52.0	1.0	4.0
99	1.0	1.0	1.0	24.0	52.0	1.0	2.0
100	1.0	1.0	1.0	5.0	13.0	0.0	2.0
101	1.0	1.0	1.0	5.0	13.0	0.0	2.0
102	1.0	1.0	1.0	5.0	13.0	0.0	2.0
103	1.0	1.0	1.0	0.0	8.0	1.0	3.0
104	0.0	0.0	1.0	0.0	2.0	2.0	2.0
105	0.0	0.0	1.0	3.0	6.0	3.0	8.0
106	0.0	0.0	1.0	4.0	1.0	1.0	3.0
107	1.0	1.0	1.0	21.0	85.0	0.0	16.0
108	1.0	1.0	1.0	21.0	85.0	0.0	16.0
109	1.0	1.0	3.0	85.0	312.0	31.0	96.0
110	1.0	1.0	1.0	18.0	23.0	1.0	1.0
111	1.0	1.0	1.0	5.0	10.0	1.0	1.0
