	NumberofCitations
0	3
1	514
2	92
3	1
4	2
5	68
6	36
7	1
8	30
9	10
10	1
11	3
12	2
13	157
14	136
15	39
16	15
17	98
18	69
19	25
20	51
21	28
22	2
23	34
24	138
25	22
26	88
27	159
28	30
29	55
30	83
31	124
32	25
33	34
34	1
35	9
36	20
37	112
38	3
39	84
40	64
41	10
42	7
43	56
44	56
45	64
46	2
47	12
48	163
49	15
50	24
51	205
52	69
53	11
54	3
55	14
56	71
57	90
58	168
59	74
60	15
61	29
62	1
63	8
64	73
65	267
66	15
67	4
68	86
69	19
70	8
71	4
72	33
73	30
74	11
75	31
76	36
77	22
78	6
79	6
80	55
81	6
82	109
83	6
84	219
85	4
86	19
87	402
88	91
89	66
90	3
91	33
92	456
93	22
94	6
95	231
96	37
97	12
98	83
99	72
100	206
101	39
102	14
103	27
104	7
105	50
106	30
107	1
108	64
109	99
110	76
111	142
112	26
113	73
114	204
115	81
116	415
117	2
118	6
119	40
120	44
121	124
122	24
123	2
124	48
125	29
126	63
127	31
128	4
129	3
130	23
131	76
132	4
133	43
134	33
135	1
136	14
137	7
138	3
139	66
140	8
141	3
142	2
143	5
144	19
145	55
146	22
147	101
148	83
149	24
150	69
151	59
152	194
153	100
154	20
155	85
156	29
157	53
158	3
159	1
160	27
161	28
162	45
163	75
164	41
165	13
166	26
167	29
168	10
169	251
170	66
171	1
172	1
173	113
174	5
175	27
176	98
177	65
178	18
179	1
180	50
181	41
182	284
183	55
184	6
185	43
186	1
187	26
188	19
189	24
190	3
191	3
192	5
193	7
194	1
195	44
196	6
197	5
198	15
199	24
200	20
201	27
202	7
203	7
204	267
205	306
206	10
207	8
208	2
209	3
210	3
211	123
212	22
213	15
214	12
215	5
216	12
217	29
218	4
219	66
220	1
221	9
222	11
223	4
224	3
225	14
226	17
227	2
228	26
229	13
230	1
231	3
232	1
233	6
234	2
235	19
236	71
237	1
238	20
239	1
240	2
241	2
242	11
243	55
244	73
245	5
246	9
247	82
248	3
249	1
250	3
251	34
252	2
253	92
254	57
255	3
256	2
257	22
258	4
259	5
260	5
261	29
262	18
263	10
264	14
265	7
266	19
267	6
268	2
269	5
270	34
271	5
272	52
273	7
274	129
275	23
276	17
277	11
278	4
279	26
280	53
281	10
282	5
283	3
284	20
285	11
286	35
287	7
288	1
289	1
290	8
291	43
292	24
293	1
294	47
295	21
296	6
297	8
298	3
299	15
300	3
301	67
302	40
303	1
304	4
305	4
306	3
307	43
308	17
309	189
310	22
311	11
312	1
313	7
314	2
315	9
316	22
317	289
318	29
319	21
320	1
321	3
322	32
323	2
324	6
325	4
326	20
327	58
328	37
329	36
330	57
331	1
332	2
333	6
334	3
335	17
336	63
337	84
338	41
339	5
340	8
341	37
342	11
343	48
344	1
345	12
346	6
347	25
348	45
349	61
350	10
351	101
352	77
353	2
354	130
355	2
356	12
357	3
358	72
359	6
360	1
361	9
362	7
363	1
364	2
365	2
366	5
367	55
368	2
369	12
370	29
371	14
372	5
373	1
374	2
