	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
1	4.0	4.0	4.0	134.0	27.0	30.0	324.0
2	1.0	1.0	4.0	604.0	1048.0	178.0	400.0
3	0.0	0.0	1.0	0.0	0.0	1.0	2.0
4	0.0	0.0	1.0	0.0	0.0	1.0	1.0
5	1.0	1.0	1.0	25.0	31.0	1.0	7.0
6	1.0	1.0	1.0	20.0	34.0	1.0	1.0
7	1.0	1.0	1.0	29.0	25.0	0.0	36.0
8	1.0	1.0	1.0	5.0	2.0	14.0	29.0
9	0.0	0.0	1.0	26.0	5.0	0.0	1.0
10	0.0	0.0	1.0	0.0	0.0	0.0	1.0
11	0.0	0.0	1.0	0.0	0.0	0.0	1.0
12	1.0	1.0	1.0	5.0	2.0	0.0	1.0
13	1.0	1.0	1.0	0.0	12.0	2.0	2.0
14	1.0	1.0	1.0	0.0	6.0	1.0	1.0
15	1.0	1.0	1.0	0.0	6.0	1.0	1.0
16	1.0	1.0	1.0	41.0	15.0	4.0	4.0
17	1.0	1.0	1.0	21.0	204.0	3.0	24.0
18	1.0	1.0	1.0	0.0	0.0	2.0	10.0
19	1.0	1.0	1.0	0.0	0.0	2.0	10.0
20	0.0	0.0	2.0	0.0	0.0	40.0	50.0
21	1.0	1.0	1.0	0.0	0.0	64.0	80.0
22	0.0	0.0	2.0	0.0	0.0	24.0	30.0
23	1.0	1.0	1.0	0.0	12.0	3.0	4.0
24	1.0	1.0	1.0	0.0	12.0	1.0	1.0
25	0.0	0.0	1.0	26.0	5.0	1.0	10.0
26	1.0	1.0	1.0	28.0	40.0	0.0	4.0
27	1.0	1.0	1.0	28.0	40.0	0.0	4.0
28	1.0	1.0	1.0	0.0	12.0	2.0	2.0
29	1.0	1.0	1.0	28.0	40.0	2.0	4.0
30	0.0	0.0	1.0	0.0	12.0	2.0	2.0
31	0.0	0.0	1.0	0.0	12.0	2.0	2.0
32	1.0	1.0	1.0	0.0	12.0	2.0	2.0
33	1.0	1.0	1.0	0.0	12.0	2.0	2.0
34	0.0	0.0	1.0	0.0	12.0	2.0	2.0
35	1.0	1.0	1.0	7.0	2.0	0.0	3.0
36	0.0	0.0	1.0	0.0	0.0	1.0	1.0
37	0.0	0.0	1.0	0.0	0.0	1.0	1.0
38	0.0	0.0	1.0	0.0	0.0	1.0	1.0
39	0.0	0.0	1.0	0.0	0.0	0.0	4.0
40	1.0	1.0	1.0	15.0	15.0	2.0	8.0
41	0.0	0.0	1.0	19.0	2.0	2.0	3.0
42	1.0	1.0	1.0	3.0	5.0	3.0	3.0
43	1.0	1.0	4.0	219.0	350.0	410.0	522.0
44	0.0	0.0	1.0	11.0	37.0	2.0	2.0
45	0.0	0.0	1.0	11.0	37.0	1.0	1.0
46	0.0	0.0	1.0	11.0	37.0	1.0	1.0
47	0.0	0.0	1.0	0.0	0.0	1.0	1.0
