	NumberofCitations
0	1
1	2
2	3
3	36
4	2
5	2
6	1
7	1
8	2
9	6
10	13
11	14
12	22
13	1
14	1
15	14
16	5
17	1
18	29
19	5
20	1
21	6
22	3
23	2
24	1
25	17
26	6
27	19
28	1
29	2
30	1
31	1
32	22
33	4
34	92
35	4
36	33
37	42
38	3
39	1
40	4
41	6
42	2
43	1
44	13
45	17
46	5
47	2
48	10
49	4
50	1
51	13
52	1
53	10
54	24
55	2
56	1
57	35
58	5
59	32
60	1
61	7
62	55
63	14
64	2
65	63
66	18
67	2
68	2
69	12
70	5
71	3
72	32
73	1
74	1
75	4
76	27
77	48
78	15
79	1
80	5
81	4
82	10
83	15
84	55
85	3
86	5
87	14
88	2
89	1
90	4
91	13
92	4
93	1
94	18
95	40
96	6
97	4
98	10
99	3
100	7
101	8
102	6
103	5
104	1
105	3
106	25
107	13
108	20
109	10
110	78
111	51
112	6
113	9
114	8
115	2
116	1
117	5
118	12
119	11
120	18
121	2
122	2
123	3
124	46
125	7
126	5
127	36
128	1
129	3
130	2
131	31
132	5
133	1
134	1
135	2
136	13
137	12
138	1
139	25
140	4
141	33
142	3
143	25
144	8
145	37
146	17
147	5
148	3
149	1
150	34
151	3
152	8
153	13
154	18
155	4
156	4
157	1
158	1
159	17
160	8
161	4
162	333
163	12
164	1
165	13
166	1
167	3
168	4
169	3
170	1
171	19
172	7
173	50
174	33
175	11
176	19
177	12
178	4
179	20
180	10
181	7
182	5
183	29
184	4
185	89
186	3
187	7
188	14
189	3
190	10
191	12
192	2
193	28
194	8
195	8
196	1
197	3
198	1
199	12
200	9
201	10
202	2
203	4
204	11
205	5
206	7
207	44
208	5
209	5
210	122
211	1
212	1
213	5
214	10
215	2
216	17
217	2
218	4
219	28
220	64
221	33
222	3
223	46
224	28
225	1
226	26
227	2
228	12
229	18
230	1
231	11
232	33
233	14
234	4
235	8
236	3
237	6
238	12
239	3
240	4
241	21
242	5
243	2
244	4
245	30
246	7
247	16
248	43
249	8
250	8
251	48
252	6
253	1
254	112
255	24
256	2
257	178
258	8
259	8
