	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
0	1	1	1	45	124	2	3
1	1	1	1	47	124	2	4
2	1	1	1	44	120	1	3
3	1	1	1	42	120	0	2
4	1	1	1	42	120	1	2
5	0	0	1	24	1	1	1
6	0	0	1	24	1	1	1
7	0	0	1	24	1	1	1
8	0	0	1	24	1	0	1
9	1	1	1	32	10	0	40
10	1	1	1	34	27	0	10
11	1	1	1	34	25	0	5
12	1	1	2	50	62	0	30
13	0	0	1	22	0	0	5
14	0	0	1	30	3	0	20
15	1	1	2	93	46	6	30
16	1	1	1	34	25	0	5
17	1	1	1	26	3	16	20
18	1	1	2	80	38	3	15
19	1	1	1	37	30	0	15
20	1	1	2	80	38	3	15
21	0	0	1	22	0	0	5
22	0	0	1	22	0	0	5
23	1	1	2	38	32	4	10
24	0	0	1	27	6	0	14
25	0	0	1	27	6	0	14
26	0	0	1	21	6	0	7
27	0	0	1	21	6	0	7
28	0	0	1	21	6	0	21
29	1	1	1	0	16	0	1
30	0	0	1	5	2	2	2
31	0	0	1	5	2	2	2
32	1	1	1	13	3	3	1
33	1	1	1	13	3	5	1
34	1	1	1	13	3	7	1
35	1	1	1	34	70	0	6
36	1	1	1	28	64	0	2
37	1	1	1	32	67	0	2
38	0	0	1	0	0	1	1
39	0	0	1	0	0	1	1
40	1	1	1	31	5	2	2
41	1	1	1	31	5	0	2
42	1	1	2	60	5	2	4
43	1	1	2	60	5	4	4
44	1	1	2	60	5	4	4
45	0	0	2	30	9	15	42
46	0	0	1	15	2	25	35
47	0	0	1	0	4	4	8
48	0	0	1	0	4	0	4
49	0	0	1	0	4	0	4
50	1	1	1	29	37	0	2
51	1	1	1	29	37	1	1
52	1	1	1	29	37	0	1
53	1	1	3	63	112	4	18
54	0	0	1	19	37	0	2
55	1	1	1	34	31	6	6
56	1	1	2	42	73	12	12
57	1	1	2	71	87	12	12
58	1	1	1	34	31	0	6
59	1	1	2	53	6	0	8
60	1	1	3	97	37	16	16
61	1	1	2	91	15	36	36
62	1	1	1	23	6	4	4
63	1	1	1	23	6	0	4
64	1	1	1	13	8	3	4
65	1	1	1	13	7	0	9
66	1	1	1	14	9	0	3
67	1	1	1	13	8	4	3
68	1	1	1	32	119	0	5
69	1	1	1	21	113	2	1
70	1	1	1	21	113	0	1
71	1	1	1	21	113	0	1
72	0	0	1	35	0	1	3
73	0	0	1	35	0	0	2
74	0	0	1	33	0	0	1
75	0	0	1	59	0	27	12
76	0	0	1	33	0	2	1
77	1	1	1	0	0	2	2
78	1	1	1	28	11	2	2
79	1	1	1	40	13	2	4
80	1	1	1	28	11	2	2
81	0	0	1	19	30	3	6
82	0	0	1	18	30	2	4
83	1	1	1	32	43	2	8
84	1	1	1	20	35	1	1
85	1	1	1	20	35	1	1
86	1	1	1	20	35	1	1
87	1	1	1	20	35	1	1
88	1	1	1	23	35	2	2
89	1	1	1	20	35	1	1
90	1	1	1	20	35	1	1
91	1	1	1	28	1	1	1
92	1	1	2	60	6	0	8
93	1	1	1	45	8	0	18
94	1	1	1	22	6	0	2
95	1	1	1	22	6	0	2
96	1	1	2	49	6	4	4
97	0	0	1	27	6	2	2
98	0	0	1	27	6	0	2
99	0	0	1	27	6	0	6
100	1	1	4	154	45	18	24
101	1	1	3	129	39	0	48
102	1	1	4	159	46	0	42
103	1	1	1	34	5	0	6
104	1	1	2	25	1	0	4
105	1	1	2	25	1	6	4
106	1	1	2	25	1	9	4
107	1	1	2	25	1	0	4
108	0	0	1	18	0	1	1
109	1	1	2	24	3	15	4
110	1	1	2	25	3	21	7
111	1	1	1	30	0	2	9
112	1	1	1	24	0	1	1
113	1	1	1	24	0	1	1
114	1	1	2	109	82	6	4
115	1	1	1	21	6	5	3
116	1	1	1	0	8	0	2
117	1	1	1	0	8	5	1
118	1	1	1	21	6	5	3
119	1	1	1	21	6	0	4
120	1	1	1	21	6	5	3
121	1	1	3	60	13	35	19
122	1	1	1	53	0	4	20
123	1	1	2	105	12	36	36
124	1	1	1	44	2	12	8
125	1	1	1	57	0	12	12
126	1	1	1	41	0	0	8
127	1	1	1	26	6	4	4
128	1	1	2	139	46	0	44
129	1	1	1	26	6	0	4
