	NumberofCitations
0	1
1	2
2	1
3	4
4	1
5	2
6	2
7	35
8	8
9	2
10	4
11	5
12	12
13	3
14	6
15	28
16	91
17	4
18	4
19	6
20	18
21	3
22	1
23	3
24	2
25	5
26	6
27	8
28	10
29	25
30	1
31	1
32	1
33	1
34	1
35	2
36	5
37	11
38	9
39	12
40	1
41	5
42	2
43	1
44	17
45	3
46	3
47	5
48	3
49	23
50	24
51	4
52	9
53	2
54	2
55	5
56	5
57	5
58	1
59	3
60	10
61	2
62	1
63	39
64	8
65	2
66	2
67	2
68	3
69	6
70	12
71	4
72	1
73	6
74	13
75	21
76	37
77	34
78	12
79	2
80	8
81	3
82	11
83	10
84	10
85	2
86	10
87	7
88	19
89	8
90	3
91	3
92	2
93	12
94	3
95	3
96	6
97	3
98	4
99	16
100	8
101	4
102	1
103	30
104	26
105	10
106	4
107	38
108	7
109	17
110	5
111	1
112	7
113	4
114	1
115	3
116	1
117	3
118	5
119	9
120	4
121	2
122	12
123	47
124	27
125	5
126	4
127	11
128	10
129	2
130	12
131	2
132	1
133	4
134	4
135	3
136	10
137	2
138	28
139	5
140	5
141	4
142	3
143	3
144	1
145	9
146	118
147	13
148	1
149	1
150	2
151	2
152	3
153	9
154	11
155	1
156	1
157	1
158	8
159	2
160	2
161	2
162	5
163	19
164	9
165	2
166	20
167	3
168	3
169	2
170	6
171	15
172	48
173	70
174	1
175	15
176	2
177	15
178	1
179	1
180	6
181	1
182	4
183	13
184	42
185	9
186	8
187	18
188	14
189	1
190	21
191	2
192	3
193	45
194	21
195	2
196	5
197	1
198	10
199	2
200	38
201	37
202	18
203	33
204	19
205	3
206	15
207	2
208	6
209	51
210	6
211	12
212	2
213	19
214	5
215	2
216	11
217	2
218	3
219	4
220	4
221	15
222	1
223	11
224	22
225	2
226	25
227	3
228	1
229	5
230	15
231	10
232	32
233	2
234	37
235	24
236	25
237	3
238	1
239	10
240	17
241	18
242	1
243	1
244	3
245	25
246	6
247	11
248	1
249	2
250	2
251	3
252	9
