	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
0	1	1	1	22	26	0	4
1	1	1	1	22	26	0	4
2	1	1	1	23	3	3	4
3	1	1	1	23	3	0	4
4	1	1	4	73	30	1	20
5	1	1	1	31	33	7	12
6	1	1	1	22	26	0	4
7	1	1	3	83	32	10	20
8	1	1	2	30	17	6	6
9	1	1	1	15	15	2	2
10	1	1	1	15	15	6	4
11	1	1	1	15	15	4	2
12	1	1	1	15	15	0	2
13	1	1	1	15	15	4	2
14	1	1	1	15	15	2	2
15	0	0	1	0	0	0	2
16	0	0	1	0	0	0	2
17	0	0	2	18	0	0	8
18	0	0	1	0	0	0	6
19	0	0	1	0	0	0	3
20	0	0	1	0	0	1	1
21	0	0	1	0	0	0	1
22	0	0	1	0	0	1	2
23	1	1	1	33	2	0	2
24	1	1	2	71	2	8	8
25	1	1	2	68	2	0	4
26	1	1	1	33	2	2	2
27	1	1	1	34	12	12	12
28	1	1	4	154	45	18	24
29	1	1	4	159	46	0	42
30	1	1	1	37	12	0	6
31	1	1	2	70	24	4	2
32	1	1	2	70	24	2	2
33	1	1	1	33	21	2	1
34	1	1	1	19	26	0	1
35	1	1	1	22	26	0	5
36	1	1	1	22	33	0	3
37	1	1	1	19	26	0	1
38	1	1	1	40	31	0	5
39	1	1	2	70	24	2	2
40	1	1	1	33	21	2	1
41	1	1	5	208	131	100	48
42	1	1	1	0	0	2	3
43	1	1	1	0	1	0	1
44	1	1	1	0	1	0	3
45	1	1	1	0	1	0	2
46	0	0	1	0	0	0	1
47	0	0	1	0	0	3	8
48	1	1	1	8	8	0	1
49	1	1	1	15	4	0	1
50	1	1	1	15	4	1	1
51	1	1	1	15	4	0	1
52	1	1	1	15	4	0	1
53	1	1	1	15	4	0	1
54	1	1	1	10	4	10	2
55	1	1	1	16	3	0	1
56	1	1	1	16	3	0	1
57	1	1	1	16	3	0	1
58	1	1	1	22	26	0	5
59	1	1	1	22	33	0	3
60	1	1	1	19	26	0	1
61	1	1	1	40	31	0	5
62	0	0	1	20	11	6	6
63	1	1	2	45	10	0	4
64	1	1	2	45	10	4	4
65	1	1	1	18	70	1	1
66	1	1	1	18	70	0	1
67	0	0	1	29	4	2	2
68	0	0	1	29	4	2	2
69	1	1	1	0	0	1	1
70	1	1	1	28	5	0	14
71	0	0	1	14	2	14	8
72	1	1	2	79	13	14	14
73	1	1	2	78	0	56	44
74	0	0	1	25	35	0	8
75	1	1	2	78	0	28	12
76	0	0	1	25	35	14	8
77	1	1	1	20	0	14	6
78	1	1	1	55	2	14	6
79	0	0	1	14	2	14	16
80	1	1	2	156	17	28	74
81	0	0	1	36	35	14	24
82	0	0	1	25	35	0	8
83	1	1	2	48	5	14	12
84	0	0	2	59	4	8	8
85	0	0	2	60	4	16	16
86	1	1	1	21	2	7	4
87	1	1	1	21	2	0	4
88	0	0	1	0	0	0	8
89	1	1	1	0	0	1	1
90	1	1	1	25	37	0	1
91	1	1	1	29	37	0	1
92	1	1	1	15	15	3	3
93	1	1	1	15	15	9	6
94	1	1	1	15	15	6	3
95	1	1	1	15	15	0	3
96	1	1	1	15	15	6	3
97	1	1	1	15	15	3	3
98	0	0	2	37	4	6	6
99	1	1	2	58	1	4	48
100	1	1	1	25	17	0	3
101	1	1	1	21	1	0	3
102	1	1	1	25	17	4	3
103	1	1	1	36	17	20	14
104	1	1	5	133	23	108	99
