	NumberofCitations
0	4
1	1
2	230
3	2
4	20
5	24
6	1
7	8
8	4
9	7
10	46
11	20
12	1
13	58
14	7
15	29
16	20
17	54
18	18
19	1
20	20
21	5
22	35
23	15
24	34
25	13
26	4
27	6
28	15
29	24
30	21
31	15
32	19
33	14
34	4
35	25
36	61
37	34
38	7
39	6
40	38
41	17
42	111
43	12
44	37
45	61
46	7
47	26
48	27
49	151
50	115
51	44
52	44
53	9
54	23
55	12
56	7
57	2
58	29
59	8
60	92
61	1
62	31
63	25
64	9
65	45
66	7
67	35
68	30
69	6
70	11
71	19
72	8
73	104
74	5
75	18
76	21
77	17
78	35
79	20
80	118
81	62
82	7
83	2
84	11
85	10
86	6
87	4
88	26
89	29
90	67
91	6
92	20
93	17
94	15
95	22
96	11
97	27
98	9
99	57
100	23
101	11
102	7
103	16
104	8
105	83
106	62
107	16
108	16
109	22
110	2
111	22
112	3
113	60
114	23
115	1
116	32
117	1174
118	17
119	18
120	27
121	23
122	3
123	17
124	10
125	53
126	11
127	55
128	34
129	8
130	43
131	3
132	34
133	55
134	7
135	7
136	11
137	45
138	8
139	4
140	10
141	28
142	23
143	31
144	44
145	1
146	34
147	14
148	13
149	168
150	7
151	23
152	21
153	15
154	5
155	9
156	3
157	16
158	4
159	9
160	25
161	15
162	7
163	6
164	73
165	4
166	43
167	2
168	2
169	24
170	6
171	3
172	4
173	15
174	8
175	29
176	254
177	40
178	20
179	25
180	3
181	9
182	5
183	8
184	24
185	17
186	19
187	8
188	19
189	27
190	10
191	1
192	22
193	7
194	6
195	6
196	10
197	16
198	4
199	271
200	1
201	20
202	4
203	29
204	25
205	31
206	1
207	3
208	7
209	2
210	87
211	34
212	18
213	18
214	4
215	16
216	24
217	21
218	70
219	9
220	10
221	30
222	20
223	19
224	3
225	20
226	14
227	27
228	8
229	48
230	69
231	13
232	9
233	27
234	50
235	6
236	126
237	14
238	37
239	6
240	9
241	18
242	5
243	9
244	7
245	4
246	13
247	18
248	23
249	15
250	10
251	14
252	29
253	12
254	4
255	23
256	6
257	10
258	4
259	4
260	2
261	7
262	1
263	25
264	13
265	7
266	10
267	3
268	43
269	17
270	18
271	6
272	27
273	20
274	46
275	35
276	19
277	1
278	71
279	8
280	6
281	13
282	13
283	40
284	31
285	18
286	23
287	59
288	30
289	29
290	17
291	17
292	12
293	41
294	8
295	24
296	16
297	16
298	14
299	13
300	27
301	81
302	6
303	33
304	24
305	5
306	45
307	40
308	4
309	9
310	26
311	10
312	10
313	12
314	5
315	32
316	18
317	75
318	14
319	19
320	28
321	2
322	35
323	4
324	7
325	1
326	7
327	9
328	35
329	22
330	3
331	7
332	9
333	23
334	6
335	13
336	80
337	16
338	13
339	39
340	31
341	16
342	6
343	13
344	20
345	88
346	17
347	27
348	8
349	9
350	13
351	8
352	19
353	9
354	28
355	23
356	9
357	33
358	26
359	5
360	23
361	62
362	19
363	382
364	8
365	2
366	21
