	NumberofCitations
0	8
1	8
2	3
3	12
4	10
5	19
6	16
7	7
8	8
9	6
10	23
11	21
12	20
13	3
14	18
15	18
16	7
17	1
18	21
19	9
20	1
21	18
22	5
23	11
24	21
25	18
26	32
27	17
28	48
29	89
30	78
31	14
32	51
33	5
34	41
35	4
36	20
37	8
38	9
39	10
40	38
41	5
42	36
43	40
44	5
45	466
46	11
47	11
48	2
49	8
50	3
51	21
52	19
53	13
54	2
55	30
56	25
57	35
58	46
59	95
60	1
61	31
62	16
63	13
64	34
65	9
66	2
67	41
68	5
69	1
70	6
71	2
72	7
73	4
74	7
75	38
76	12
77	14
78	2
79	29
80	19
81	2
82	3
83	33
84	7
85	48
86	13
87	8
88	22
89	173
90	10
91	1
92	9
93	15
94	21
95	10
96	18
97	31
98	24
99	10
100	9
101	10
102	19
103	28
104	16
105	5
106	285
107	46
108	4
109	41
110	10
111	4
112	12
113	12
114	13
115	10
116	46
117	3
118	17
119	11
120	124
121	9
122	1
123	23
124	45
125	40
126	10
127	24
128	7
129	28
130	6
131	22
132	20
133	10
134	17
135	7
136	18
137	18
138	8
139	45
140	5
141	3
142	20
143	9
144	68
145	16
146	45
147	15
148	22
149	3
150	15
151	6
152	5
153	7
154	13
155	5
156	5
157	23
158	2
159	19
160	18
161	1
162	30
163	5
164	121
165	14
166	18
167	71
168	2
169	17
170	14
171	2
172	23
173	15
174	101
175	16
176	2
177	81
178	5
179	1
180	51
181	3
182	13
183	5
184	4
185	18
186	24
187	19
188	8
189	7
190	13
191	16
192	37
193	11
194	7
195	11
196	5
197	92
198	31
199	12
200	2
201	15
202	14
203	15
204	4
205	6
206	2
207	3
208	3
209	4
210	6
211	38
212	11
213	38
214	4
215	55
216	15
217	9
218	7
219	4
220	20
221	6
222	1
223	17
224	7
225	4
226	86
227	4
228	19
229	62
230	9
231	7
232	3
233	5
234	68
235	6
236	13
237	18
238	6
239	4
240	6
241	21
242	4
243	20
244	373
245	16
246	40
247	9
248	7
249	4
250	7
251	7
252	6
253	18
254	10
255	20
256	27
257	13
258	14
259	76
260	38
261	15
262	42
263	15
264	8
265	59
266	6
267	22
268	12
269	14
270	5
271	9
272	6
273	16
274	2
275	286
276	51
277	28
278	8
279	4
280	66
281	17
282	2
283	14
284	4
285	28
286	19
287	4
288	7
289	78
290	3
291	6
292	11
293	22
294	3
295	21
296	35
297	56
298	129
299	2
300	7
301	44
302	13
303	2
304	14
305	17
306	24
307	7
308	8
309	19
310	25
311	53
312	11
313	5
314	106
315	56
316	103
317	30
318	33
319	37
320	11
321	8
322	11
323	31
324	24
325	5
326	15
327	56
328	1
329	4
330	51
331	30
332	34
333	34
334	7
335	13
336	3
337	5
338	2
339	64
340	42
341	20
342	29
343	22
344	41
345	48
346	6
347	17
348	3
349	12
350	24
351	25
352	105
353	9
354	10
355	11
356	13
357	5
358	59
359	3
360	5
361	3
362	4
363	81
364	9
365	5
366	26
367	23
368	38
369	21
