	NumberofCitations
0	24
1	1
2	12
3	7
4	116
5	15
6	94
7	27
8	25
9	15
10	12
11	13
12	58
13	2
14	68
15	79
16	14
17	9
18	12
19	60
20	33
21	63
22	36
23	34
24	15
25	9
26	18
27	31
28	17
29	5
30	27
31	15
32	17
33	26
34	8
35	32
36	19
37	24
38	2
39	44
40	45
41	19
42	7
43	14
44	15
45	11
46	23
47	17
48	346
49	87
50	26
51	18
52	19
53	11
54	50
55	6
56	72
57	52
58	39
59	10
60	4
61	112
62	6
63	224
64	3
65	6
66	23
67	16
68	98
69	70
70	4
71	16
72	22
73	9
74	14
75	5
76	10
77	19
78	3
79	15
80	2
81	9
82	31
83	20
84	22
85	5
86	18
87	31
88	85
89	18
90	30
91	17
92	52
93	47
94	11
95	47
96	46
97	84
98	20
99	64
100	74
101	33
102	32
103	14
104	60
105	16
106	42
107	29
108	52
109	13
110	156
111	4
112	36
113	16
114	15
115	5
116	53
117	32
118	19
119	44
120	30
121	22
122	100
123	13
124	6
125	9
126	121
127	7
128	18
129	9
130	1
131	11
132	6
133	67
134	18
135	42
136	34
137	9
138	18
139	65
140	3
141	12
142	144
143	20
144	11
145	31
146	8
147	4
148	64
149	10
150	32
151	352
152	67
153	26
154	50
155	40
156	4
157	2
158	8
159	171
160	19
161	13
162	12
163	3
164	7
165	8
166	38
167	6
168	31
169	15
170	19
171	9
172	672
173	5
174	8
175	50
176	2
177	3
178	44
179	44
180	38
181	13
182	100
183	39
184	10
185	41
186	36
187	7
188	84
189	14
190	7
191	122
192	14
193	75
194	5
195	40
196	37
197	14
198	14
199	14
200	23
201	112
202	19
203	6
204	10
205	17
206	32
207	125
208	86
209	54
210	5
211	38
212	7
213	21
214	60
215	55
216	53
217	91
218	38
219	10
220	161
221	38
