	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
0	1	1	1	15	84	0	1
1	1	1	1	15	84	1	1
2	1	1	1	15	84	3	3
3	1	1	2	37	67	0	14
4	1	1	2	35	59	4	4
5	1	1	1	29	20	3	3
6	1	1	1	29	20	3	3
7	1	1	1	15	17	2	2
8	1	1	2	5	9	10	10
9	1	1	2	5	9	10	10
10	1	1	1	31	61	0	2
11	1	1	2	46	65	0	4
12	1	1	2	46	65	0	4
13	1	1	2	46	65	0	4
14	1	1	1	31	61	2	2
15	1	1	1	10	50	1	1
16	1	1	1	43	20	8	8
17	1	1	2	76	36	16	16
18	1	1	3	31	16	0	15
19	1	1	1	9	3	3	5
20	1	1	1	17	20	0	1
21	1	1	1	1	262	0	1
22	1	1	1	1	262	1	1
23	1	1	1	1	262	1	1
24	1	1	1	1	262	1	1
25	1	1	1	1	262	0	1
26	1	1	1	9	12	0	6
27	1	1	1	9	12	0	2
28	1	1	1	9	12	0	4
29	1	1	1	9	12	0	2
30	1	1	1	9	12	0	4
31	1	1	1	9	12	0	2
32	1	1	1	9	12	0	2
33	1	1	1	19	31	6	6
34	1	1	1	11	22	4	4
35	1	1	1	11	22	4	4
36	1	1	1	9	21	2	2
37	1	1	2	34	37	0	78
38	1	1	2	29	37	6	6
39	1	1	2	29	37	0	33
40	1	1	1	7	19	3	3
41	1	1	1	7	19	1	1
42	1	1	1	7	19	1	1
43	1	1	1	7	21	3	3
44	1	1	1	7	21	2	2
45	1	1	1	7	19	3	3
46	1	1	1	7	16	1	1
47	1	1	1	8	20	1	1
48	1	1	1	8	20	1	1
49	1	1	1	8	20	1	1
50	1	1	1	8	20	0	1
51	1	1	1	18	38	1	1
52	1	1	1	2	11	1	1
53	1	1	1	2	11	1	1
54	1	1	1	71	38	5	5
55	1	1	1	18	17	2	2
56	1	1	1	18	17	2	2
57	1	1	1	18	17	2	2
58	1	1	1	18	17	0	2
59	1	1	1	18	17	2	2
60	1	1	1	18	17	2	2
61	1	1	2	23	31	6	6
62	1	1	1	14	36	0	16
63	1	1	1	14	30	4	4
64	1	1	2	14	58	12	12
65	1	1	1	14	30	0	4
66	1	1	1	14	30	0	4
67	1	1	4	24	118	16	16
68	1	1	1	14	30	4	4
69	1	1	1	7	18	5	10
70	1	1	3	192	72	30	85
71	1	1	4	205	71	20	20
72	1	1	2	47	12	15	15
73	1	1	1	31	202	0	6
74	1	1	1	25	76	3	3
75	1	1	1	25	76	0	3
76	1	1	3	50	87	12	12
77	1	1	2	26	49	8	8
78	1	1	1	19	33	4	4
79	1	1	1	2	28	0	2
