	NumberofCitations
0	25
1	29
2	18
3	19
4	10
5	2
6	40
7	58
8	33
9	21
10	37
11	13
12	17
13	3
14	56
15	4
16	20
17	7
18	9
19	19
20	4
21	13
22	9
23	9
24	4
25	32
26	63
27	20
28	14
29	21
30	19
31	24
32	4
33	25
34	25
35	20
36	49
37	140
38	1
39	16
40	19
41	29
42	2
43	5
44	9
45	27
46	1
47	179
48	3
49	105
50	7
51	9
52	22
53	18
54	2
55	11
56	35
57	20
58	11
59	6
60	27
61	3
62	7
63	10
64	23
65	9
66	9
67	4
68	14
69	41
70	10
71	77
72	1
73	18
74	51
75	29
76	105
77	49
78	3
79	88
80	13
81	41
82	33
83	2
84	20
85	9
86	31
87	6
88	10
89	75
90	16
91	24
92	23
93	5
94	80
95	46
96	2
97	33
98	34
99	1
100	7
101	35
102	36
103	8
104	5
105	16
106	13
107	68
108	48
109	6
110	87
111	1
112	39
113	50
114	14
115	25
116	39
117	17
118	125
119	1
120	27
121	19
122	32
123	20
124	21
125	47
126	43
127	50
128	28
129	30
130	71
131	10
132	34
133	4
134	22
135	19
136	23
137	8
138	49
139	2
140	37
141	5
142	17
143	9
144	65
145	21
146	24
147	48
148	14
149	23
150	66
151	1
152	41
153	19
154	37
155	13
156	26
157	34
158	22
159	2
160	12
161	17
162	18
163	1
164	7
165	37
166	22
167	12
168	8
169	49
170	19
171	39
172	4
173	2
174	2
175	23
176	4
177	23
178	32
179	2
180	93
181	43
182	83
183	3
184	13
185	64
186	39
187	5
188	29
189	110
190	8
191	5
192	45
193	7
194	67
195	14
196	66
197	21
198	10
199	7
200	89
201	7
202	9
203	5
204	10
205	12
206	14
207	16
208	4
209	9
210	8
211	207
212	16
213	18
214	1
215	64
216	4
217	15
218	68
219	97
220	3
221	4
222	1
223	45
224	8
225	44
226	466
227	56
228	57
229	30
230	1
231	46
232	219
233	4
234	9
235	4
236	39
237	75
238	199
239	3
240	49
241	3
242	3
243	33
244	29
245	25
246	10
247	25
248	96
249	24
250	1
251	32
252	250
253	9
254	9
255	42
256	3
257	27
258	33
259	3
