	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
0	1	1	1	14	0	0	1
1	1	1	2	57	90	2	8
2	1	1	1	27	71	1	6
3	1	1	1	21	14	4	4
4	1	1	2	32	96	8	8
5	1	1	1	31	5	0	1
6	1	1	1	16	15	0	4
7	1	1	1	16	15	4	4
8	1	1	1	12	25	4	4
9	1	1	1	16	15	0	4
10	1	1	2	30	43	0	24
11	1	1	1	1	1	1	1
12	1	1	1	1	1	1	1
13	1	1	1	44	1	0	1
14	1	1	1	14	78	0	4
15	1	1	1	27	69	0	2
16	1	1	1	17	13	1	1
17	1	1	1	27	14	0	2
18	1	1	1	27	14	0	2
19	1	1	1	2	3	1	1
20	1	1	1	2	3	0	1
21	1	1	1	5	5	0	1
22	1	1	2	4	22	0	4
23	1	1	1	2	3	0	2
24	1	1	2	4	22	1	4
25	1	1	1	2	3	0	2
26	1	1	1	7	22	2	2
27	1	1	2	13	33	0	4
28	1	1	2	21	189	0	14
29	1	1	2	26	211	15	21
30	1	1	1	30	123	0	7
31	1	1	1	14	19	1	1
32	1	1	1	56	276	0	51
33	1	1	1	15	68	2	2
34	1	1	1	25	21	0	3
35	1	1	3	97	79	0	30
36	1	1	2	59	50	6	9
37	1	1	1	31	14	0	3
38	1	1	1	10	29	12	12
39	1	1	5	64	143	30	30
40	1	1	1	10	29	0	6
41	1	1	1	11	31	6	6
42	1	1	1	7	16	2	2
43	1	1	1	7	16	2	2
44	1	1	1	7	16	2	2
45	1	1	1	29	43	1	1
46	1	1	1	29	43	1	1
47	1	1	1	5	57	0	1
48	1	1	1	5	57	2	2
49	1	1	1	5	57	0	2
50	1	1	1	5	57	0	2
51	1	1	1	5	4	0	1
52	1	1	1	5	5	0	2
53	1	1	1	5	5	0	2
54	1	1	1	14	50	0	1
55	1	1	1	16	4	1	1
56	1	1	1	17	4	0	33
57	1	1	1	30	10	0	1
58	1	1	1	30	10	0	1
59	1	1	1	12	35	1	1
60	1	1	1	12	35	1	1
61	1	1	1	12	35	1	1
62	1	1	1	12	10	0	1
63	1	1	1	15	9	2	2
64	1	1	1	15	9	1	1
65	1	1	1	8	18	0	3
66	1	1	2	104	125	28	28
67	1	1	1	38	56	4	4
68	1	1	2	67	56	8	8
69	1	1	1	37	21	4	4
70	1	1	1	5	5	2	2
71	1	1	1	5	5	2	2
72	1	1	1	10	30	11	17
73	1	1	1	12	39	2	2
74	1	1	1	12	39	0	1
75	1	1	1	12	39	1	1
76	1	1	1	51	219	1	1
77	1	1	1	51	219	1	1
78	1	1	2	17	159	0	6
79	1	1	1	25	28	1	1
80	1	1	1	29	43	1	1
81	1	1	1	9	9	0	6
82	1	1	1	8	9	0	6
83	1	1	1	18	44	2	2
84	1	1	1	13	19	0	2
85	1	1	1	35	29	0	1
86	1	1	1	38	27	8	10
87	1	1	2	21	51	4	4
88	0	0	1	18	37	2	2
89	1	1	1	15	101	7	7
90	1	1	1	14	9	0	2
91	1	1	1	15	10	8	8
92	1	1	1	14	9	0	2
93	1	1	1	14	9	0	2
94	1	1	1	36	32	2	2
95	1	1	1	15	10	8	12
96	1	1	1	14	9	0	2
97	1	1	2	51	41	0	12
98	1	1	1	14	9	2	2
99	1	1	1	1	23	0	1
100	1	1	1	1	23	1	1
101	1	1	1	1	23	1	1
102	1	1	1	206	105	1	1
103	1	1	1	15	1	1	1
104	1	1	1	35	24	1	1
105	1	1	1	35	24	1	1
106	1	1	1	35	24	1	1
107	1	1	1	5	29	0	8
108	1	1	1	16	21	2	2
109	1	1	1	17	4	0	33
110	1	1	1	7	33	6	12
111	1	1	1	10	29	0	2
112	1	1	1	7	31	0	3
113	1	1	1	7	41	1	1
