homo,hetero
3,1
514,4
92,7
1,39
2,8
68,1
36,1
1,1
30,32
10,235
1,59
3,2
2,1
157,81
136,1
39,1
15,7
98,31
69,106
25,55
51,1
28,18
2,27
34,9
138,23
22,9
88,26
159,76
30,126
55,10
83,13
124,133
25,19
34,116
1,54
9,101
20,18
112,38
3,16
84,97
64,113
10,4
7,254
56,8
56,9
64,7
2,23
12,123
163,3
15,53
24,14
205,40
69,59
11,161
3,16
14,1
71,42
90,108
168,19
74,56
15,21
29,24
1,45
8,37
73,90
267,74
15,12
4,25
86,174
19,66
8,20
4,83
33,22
30,350
11,3
31,13
36,180
22,84
6,2
6,39
55,18
6,216
109,34
6,58
219,58
4,1
19,54
402,20
91,32
66,7
3,148
33,68
456,196
22,67
6,152
231,16
37,79
12,39
83,12
72,49
206,114
39,66
14,177
27,31
7,35
50,12
30,10
1,37
64,12
99,169
76,13
142,2
26,36
73,495
204,1
81,4
415,107
2,178
6,13
40,30
44,5
124,21
24,15
2,93
48,40
29,124
63,16
31,35
4,9
3,32
23,4
76,51
4,2
43,2
33,1
1,17
14,50
7,50
3,87
66,23
8,263
3,27
2,117
5,1
19,96
55,47
22,3
101,151
83,13
24,47
69,227
59,56
194,34
100,16
20,110
85,56
29,138
53,67
3,7
1,123
27,2
28,17
45,2
75,12
41,97
13,2
26,11
29,2
10,103
251,16
66,72
1,5
1,36
113,14
5,13
27,15
98,72
65,125
18,37
1,60
50,96
41,66
284,204
55,1
6,128
43,11
1,66
26,61
19,67
24,6
3,92
3,42
5,5
7,5
1,43
44,82
6,127
5,42
15,89
24,14
20,19
27,10
7,39
7,172
267,45
306,37
10,49
8,10
2,49
3,87
3,16
123,5
22,35
15,4
12,524
5,3
12,73
29,3
4,55
66,8
1,2
9,28
11,72
4,3
3,67
14,10
17,16
2,106
26,117
13,30
1,1
3,14
1,4
6,19
2,26
19,595
71,176
1,52
20,5
1,73
2,1
2,5
11,3
55,44
73,4
5,7
9,1
82,23
3,1
1,4
3,53
34,112
2,1
92,27
57,1
3,3
2,8
22,51
4,71
5,8
5,59
29,7
18,15
10,6
14,29
7,30
19,1
6,43
2,318
5,16
34,33
5,464
52,15
7,14
129,46
23,1
17,4
11,34
4,28
26,4
53,65
10,1
5,1
3,3
20,10
11,15
35,97
7,48
1,4
1,14
8,6
43,5
24,57
1,21
47,40
21,2
6,23
8,154
3,60
15,11
3,3
67,6
40,2
1,12
4,7
4,11
3,2
43,8
17,15
189,18
22,60
11,88
1,1
7,4
2,9
9,3
22,235
289,47
29,2
21,33
1,32
3,5
32,38
2,1
6,34
4,7
20,42
58,9
37,13
36,64
57,588
1,6
2,1
6,1
3,134
17,8
63,2
84,24
41,51
5,115
8,27
37,23
11,13
48,18
1,25
12,2
6,2
25,1
45,30
61,1
10,1
101,12
77,2
2,135
130,8
2,14
12,65
3,7
72,38
6,178
1,130
9,1
7,2
1,
2,
2,
5,
55,
2,
12,
29,
14,
5,
1,
2,
