homo,hetero
1,1
2,2
1,3
4,36
1,2
2,2
2,1
35,1
8,2
2,6
4,13
5,14
12,22
3,1
6,1
28,14
91,5
4,1
4,29
6,5
18,1
3,6
1,3
3,2
2,1
5,17
6,6
8,19
10,1
25,2
1,1
1,1
1,22
1,4
1,92
2,4
5,33
11,42
9,3
12,1
1,4
5,6
2,2
1,1
17,13
3,17
3,5
5,2
3,10
23,4
24,1
4,13
9,1
2,10
2,24
5,2
5,1
5,35
1,5
3,32
10,1
2,7
1,55
39,14
8,2
2,63
2,18
2,2
3,2
6,12
12,5
4,3
1,32
6,1
13,1
21,4
37,27
34,48
12,15
2,1
8,5
3,4
11,10
10,15
10,55
2,3
10,5
7,14
19,2
8,1
3,4
3,13
2,4
12,1
3,18
3,40
6,6
3,4
4,10
16,3
8,7
4,8
1,6
30,5
26,1
10,3
4,25
38,13
7,20
17,10
5,78
1,51
7,6
4,9
1,8
3,2
1,1
3,5
5,12
9,11
4,18
2,2
12,2
47,3
27,46
5,7
4,5
11,36
10,1
2,3
12,2
2,31
1,5
4,1
4,1
3,2
10,13
2,12
28,1
5,25
5,4
4,33
3,3
3,25
1,8
9,37
118,17
13,5
1,3
1,1
2,34
2,3
3,8
9,13
11,18
1,4
1,4
1,1
8,1
2,17
2,8
2,4
5,333
19,12
9,1
2,13
20,1
3,3
3,4
2,3
6,1
15,19
48,7
70,50
1,33
15,11
2,19
15,12
1,4
1,20
6,10
1,7
4,5
13,29
42,4
9,89
8,3
18,7
14,14
1,3
21,10
2,12
3,2
45,28
21,8
2,8
5,1
1,3
10,1
2,12
38,9
37,10
18,2
33,4
19,11
3,5
15,7
2,44
6,5
51,5
6,122
12,1
2,1
19,5
5,10
2,2
11,17
2,2
3,4
4,28
4,64
15,33
1,3
11,46
22,28
2,1
25,26
3,2
1,12
5,18
15,1
10,11
32,33
2,14
37,4
24,8
25,3
3,6
1,12
10,3
17,4
18,21
1,5
1,2
3,4
25,30
6,7
11,16
1,43
2,8
2,8
3,48
9,6
0,1
0,112
0,24
0,2
0,178
0,8
0,8
