homo,hetero
25,24
29,1
18,12
19,7
10,116
2,15
40,94
58,27
33,25
21,15
37,12
13,13
17,58
3,2
56,68
4,79
20,14
7,9
9,12
19,60
4,33
13,63
9,36
9,34
4,15
32,9
63,18
20,31
14,17
21,5
19,27
24,15
4,17
25,26
25,8
20,32
49,19
140,24
1,2
16,44
19,45
29,19
2,7
5,14
9,15
27,11
1,23
179,17
3,346
105,87
7,26
9,18
22,19
18,11
2,50
11,6
35,72
20,52
11,39
6,10
27,4
3,112
7,6
10,224
23,3
9,6
9,23
4,16
14,98
41,70
10,4
77,16
1,22
18,9
51,14
29,5
105,10
49,19
3,3
88,15
13,2
41,9
33,31
2,20
20,22
9,5
31,18
6,31
10,85
75,18
16,30
24,17
23,52
5,47
80,11
46,47
2,46
33,84
34,20
1,64
7,74
35,33
36,32
8,14
5,60
16,16
13,42
68,29
48,52
6,13
87,156
1,4
39,36
50,16
14,15
25,5
39,53
17,32
125,19
1,44
27,30
19,22
32,100
20,13
21,6
47,9
43,121
50,7
28,18
30,9
71,1
10,11
34,6
4,67
22,18
19,42
23,34
8,9
49,18
2,65
37,3
5,12
17,144
9,20
65,11
21,31
24,8
48,4
14,64
23,10
66,32
1,352
41,67
19,26
37,50
13,40
26,4
34,2
22,8
2,171
12,19
17,13
18,12
1,3
7,7
37,8
22,38
12,6
8,31
49,15
19,19
39,9
4,672
2,5
2,8
23,50
4,2
23,3
32,44
2,44
93,38
43,13
83,100
3,39
13,10
64,41
39,36
5,7
29,84
110,14
8,7
5,122
45,14
7,75
67,5
14,40
66,37
21,14
10,14
7,14
89,23
7,112
9,19
5,6
10,10
12,17
14,32
16,125
4,86
9,54
8,5
207,38
16,7
18,21
1,60
64,55
4,53
15,91
68,38
97,10
3,161
4,38
1,
45,
8,
44,
466,
56,
57,
30,
1,
46,
219,
4,
9,
4,
39,
75,
199,
3,
49,
3,
3,
33,
29,
25,
10,
25,
96,
24,
1,
32,
250,
9,
9,
42,
3,
27,
33,
3,
